,EIN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
Homer Hockey Association ,92-0143117,,,,,,,,,2700.0,1725.0,2425.0,6850.0
Homer Senior Citizens Inc,92-0077789,,250.0,1450.0,1375.0,1650.0,850.0,1275.0,2464.4,2104.4,1568.0,1525.0,14511.8
Homeward Bound Pet Rescue,75-3080267,,,,,4825.0,4400.0,,5125.0,,,2075.0,16425.0
Hope Community Resources,92-0036594,,1100.0,1300.0,5325.0,6304.0,11075.0,11800.0,12600.0,14193.43,10550.0,9025.0,83272.43
Hospice of Anchorage,92-0018009,,2850.0,7675.0,16550.0,20301.0,19775.0,25000.0,24075.0,16645.4,16450.0,11750.0,161071.4
Hospice of Haines,92-0163066,,,1800.0,2200.0,1800.0,2175.0,2425.0,2475.0,3100.0,2025.0,2475.0,20475.0
Hospice of Homer,92-0115943,,1125.0,1775.0,3200.0,5525.0,5150.0,7175.0,8175.0,,6375.0,6975.0,45475.0
Hospice of Kodiak,45-2208200,,,,,,,,,1700.0,900.0,1700.0,4300.0
Hospice of the Central Peninsula ,92-0118643,,600.0,1075.0,2350.0,2875.0,3825.0,4325.0,4775.0,4150.0,3293.0,3400.0,30668.0
HoWL Incorporated,27-2315974,,,,,,,1325.0,1875.0,,400.0,2925.0,6525.0
Humane Society of Kodiak,92-0148196,,1175.0,2900.0,3400.0,8075.0,10530.0,7925.0,9700.0,7822.0,5475.0,6475.0,63477.0
ICC Alaska,92-0091959,,,,,,325.0,475.0,614.4,1025.0,475.0,575.0,3489.4
Identity Inc,92-0091087,,3625.0,2425.0,6025.0,5575.0,7100.0,8675.0,8939.4,9604.4,8450.0,9425.0,69843.8
Iditarod Historic Trail Alliance,92-0165948,,,,,,,,1100.0,675.0,500.0,400.0,2675.0
Iditarod Trail Sled Dog Race,92-0043991,,600.0,,,,,2475.0,1275.0,725.0,1600.0,1425.0,8100.0
Ilisagvik College,92-0158414,,2025.0,2300.0,3575.0,5175.0,4680.0,7450.0,8525.0,7822.0,6375.0,7900.0,55827.0
Independent Living Center or ILC,92-0137389,,,,,,,575.0,850.0,925.0,,700.0,3050.0
Interior Alaska Cancer Association,68-0505547,,,,,,,,,,,1175.0,1175.0
Interior Alaska Center for Non Violent Living,92-0063639,,2050.0,3425.0,5050.0,7050.0,5350.0,7200.0,9650.0,9772.0,8400.0,8425.0,66372.0
Interior Alaska Land Trust,92-0156596,,,,,,925.0,675.0,2800.0,861.0,1675.0,2475.0,9411.0
Irish Dance Academy of Alaska ,91-1832610,,,,,,,,,,800.0,1000.0,1800.0
JDIA Juneau Douglas Ice Association,31-1625238,,,,,550.0,675.0,900.0,1325.0,1400.0,1275.0,1175.0,7300.0
Jessica Stevens Community Foundation ACF,92-0155067,,1725.0,2325.0,4000.0,4025.0,4675.0,4825.0,6150.0,4922.0,4950.0,4350.0,41947.0
Jewish Congregation of Fairbanks,92-0123281,,,,,,,,,,750.0,450.0,1200.0
John Trigg Ester Library,27-1297959,,,,,,,1250.0,1275.0,1300.0,1075.0,1325.0,6225.0
Juneau Alliance for Mental Health Inc,92-0106659,,,,,,,,,1347.0,1075.0,1150.0,3572.0
Juneau Arts and Humanities Council,23-7243859,,,,,,,,,1972.0,1975.0,4125.0,8072.0
Juneau Audubon Society ,92-0100446,,,,,,1225.0,1125.0,775.0,900.0,1050.0,675.0,5750.0
Juneau Community Foundation,52-2395867,,475.0,1175.0,1300.0,2175.0,,,,1900.0,2200.0,,9225.0
Juneau Coop Preschool Inc,92-0151602,,,,625.0,2550.0,1900.0,1750.0,2700.0,3625.0,2475.0,2150.0,17775.0
Juneau Dance Theatre,92-0066478,,,,,,,,,,100.0,25.0,125.0
Juneau Family Health and Birth Center,92-0160698,,1100.0,550.0,2100.0,2200.0,2280.0,1525.0,1850.0,,1100.0,550.0,13255.0
Juneau Raptor Center,92-0135485,,675.0,2600.0,3650.0,2525.0,3175.0,3050.0,4325.0,3800.0,2375.0,3750.0,29925.0
Juneau Ski Club,92-6001576,,,,,,,,,1075.0,1050.0,850.0,2975.0
Juneau Symphony,92-0080948,,875.0,1350.0,2075.0,2303.0,,1275.0,3300.0,2375.0,1475.0,1250.0,16278.0
Juneau Youth Sailing,92-0161479,,,875.0,900.0,1075.0,1150.0,1850.0,1250.0,1250.0,775.0,1025.0,10150.0
Juneau Youth Services Inc,92-0038549,,175.0,,,,,,1025.0,825.0,750.0,1025.0,3800.0
Juneau Youth Wrestling Club,92-0170460,,,,,,,700.0,1300.0,500.0,425.0,250.0,3175.0
Junior Achievement of Alaska,92-0045091,,450.0,725.0,1375.0,,650.0,1700.0,2425.0,2875.0,1500.0,,11700.0
Kachemak Bay Family Planning Clinic,92-0106486,,175.0,,,,,,,3025.0,4150.0,4725.0,12075.0
Kachemak Heritage Land Trust Inc,94-3104608,,,,,,,3325.0,,2825.0,2775.0,2975.0,11900.0
Kawerak Inc,92-0047009,,275.0,675.0,750.0,,650.0,,1425.0,2375.0,525.0,1850.0,8525.0
KBBI Public Radio,92-0060366,,325.0,2150.0,2950.0,3353.0,,5775.0,8300.0,11072.0,8400.0,9875.0,52200.0
KBRW Public Radio,92-0049905,,,,775.0,,,,1725.0,1625.0,2050.0,1675.0,7850.0
KCHU,92-0088295,,300.0,1225.0,800.0,1900.0,2750.0,2925.0,2600.0,3300.0,3175.0,2675.0,21650.0
KDLL 919 FM,92-0100717,,925.0,1600.0,3150.0,4400.0,4700.0,4425.0,5111.0,3950.0,3700.0,4800.0,36761.0
Kenai Peninsula Food Bank,94-3112445,,1975.0,10025.0,9900.0,13375.0,15425.0,19928.6,27775.0,16772.0,14075.0,14775.0,144025.6
Kenai Peninsula Foundation ACF,92-0155067,,25.0,200.0,50.0,678.0,400.0,1100.0,925.0,875.0,475.0,275.0,5003.0
Kenai Performers Inc,23-7268659,,,,,1000.0,800.0,,,,675.0,1050.0,3525.0
Kenai River Foundation,27-1570362,,,,,,,,,300.0,175.0,75.0,550.0
Kenai River Sportfishing Association,92-0142688,,175.0,225.0,1100.0,,898.0,3250.0,2150.0,1900.0,1675.0,2000.0,13373.0
Kenai Watershed Forum,91-1829284,,1025.0,1850.0,2725.0,4028.0,7950.0,8525.0,8425.0,5350.0,4450.0,4300.0,48628.0
Ketchikan Area Arts and Humanities Council,23-7058116,,750.0,1500.0,,,,,,,2250.0,3025.0,7525.0
Ketchikan Community Concert Band Inc,20-5230890,,,,,,,,,450.0,450.0,775.0,1675.0
Ketchikan Community Foundation ACF,92-0155067,,,,,,,1250.0,3200.0,825.0,1450.0,1400.0,8125.0
Ketchikan Humane Society,92-0175795,,,,,,3625.0,3075.0,3900.0,5297.0,3100.0,3775.0,22772.0
Ketchikan Pioneers Home Foundation,92-0150461,,,,,,650.0,2525.0,975.0,825.0,725.0,750.0,6450.0
Ketchikan Volunteer Rescue Squad,92-0107794,,,,,,,,,1575.0,1175.0,1450.0,4200.0
Ketchikan Youth Initiatives,20-2549904,,175.0,150.0,800.0,,475.0,575.0,825.0,525.0,400.0,,3925.0
KFSK Community Radio,92-0064145,,,425.0,950.0,950.0,700.0,1500.0,2975.0,3575.0,3150.0,2875.0,17100.0
KHNS FM,92-0068956,,300.0,700.0,1075.0,1075.0,1825.0,2600.0,2975.0,3175.0,3900.0,2925.0,20550.0
Kids Corps Inc,94-3042122,,,,,,2050.0,3125.0,3050.0,2650.0,2900.0,3775.0,17550.0
Kids Kupboard,81-0989262,,,,,,,,,,,,
Kitty and K9 Connection A New Leash on Life,81-0609673,,7625.0,4725.0,23075.0,11625.0,9906.8,10725.0,13800.0,12197.0,10900.0,11100.0,115678.8
KMXT,23-7422357,,375.0,900.0,1850.0,3028.0,3250.0,3800.0,,4969.0,2650.0,2375.0,23197.0
KNBA FM and Koahnic Broadcast Corporation,92-0139738,,4000.0,4925.0,8600.0,14575.0,17575.0,18350.0,20625.0,18647.0,19025.0,15925.0,142247.0
Kobuk 440 Racing Association INC,46-1672915,,,,,,,,,,,,
Kodiak Arts Council,92-6003460,,,600.0,2125.0,2478.0,2125.0,3675.0,3322.0,3022.0,3025.0,2725.0,23097.0
Kodiak Community Foundation ACF,92-0155067,,,,,,,650.0,1950.0,700.0,675.0,1075.0,5050.0
Kodiak Historical Society,92-6002560,,275.0,750.0,1225.0,2225.0,,,,800.0,850.0,1300.0,7425.0
Kodiak Island Food Bank,92-0071967,,,,,,,,,2025.0,1550.0,1475.0,5050.0
Kodiak Maritime Museum,92-0165430,,950.0,1125.0,2175.0,2628.0,2625.0,3275.0,2950.0,2450.0,2075.0,2175.0,22428.0
Kodiak Public Library Association,30-0498471,,,2125.0,,7334.0,5400.0,3850.0,8150.0,2625.0,2200.0,2175.0,33859.0
Kodiak Womens Resource and Crisis Center,92-0070130,,575.0,1975.0,3175.0,,3175.0,,4900.0,3725.0,2350.0,2375.0,22250.0
Koniag Education Foundation,92-0145017,,275.0,,,,1100.0,1825.0,875.0,1475.0,1225.0,925.0,7700.0
Kootznahoo Fortress Of The Bear,41-2064376,,,,,,,,800.0,725.0,700.0,975.0,3200.0
Kotzebue Broadcasting Inc,92-0041960,,,,,,,2200.0,1775.0,1650.0,900.0,,6525.0
Krazy Kats Cat Rescue Inc,47-2811363,,,,,,,,,,,1750.0,1750.0
KRBD,23-7444805,,,800.0,1225.0,2650.0,1050.0,,2675.0,1950.0,2425.0,4015.63,16790.63
KSTK fm,92-0058702,,725.0,300.0,575.0,675.0,600.0,750.0,775.0,450.0,675.0,775.0,6300.0
KTNA Talkeetna ,94-3099330,,350.0,1450.0,4200.0,2878.0,3280.0,4217.0,5350.0,4672.0,3625.0,3375.0,33397.0
KTOO KRNN KXLL 360 North CoastAlaska ,92-0058054,,1425.0,1975.0,5600.0,6703.0,9000.0,8225.0,12125.0,11151.4,9500.0,8875.0,74579.4
KUAC Friends Group,47-4121401,,,,,,,,,,,,
Kuimarvik YK Delta Lifesavers  ,46-4105396,,,,,,,,,,1225.0,2225.0,3450.0
Kuskokwim Educational Foundation,92-0081529,,,,,,325.0,425.0,1500.0,775.0,700.0,550.0,4275.0
KYUK,92-0039676,,,,,2850.0,3850.0,7850.0,8594.96,6675.0,5475.0,4825.0,40119.96
Let Every Woman Know Alaska ,46-1861913,,,,,,,,,,600.0,2000.0,2600.0
Life Alaska Donor Services,92-0140815,,1275.0,775.0,1625.0,1206.0,,,,1500.0,1475.0,625.0,8481.0
Literacy Council of Alaska Inc,92-6010100,,1550.0,2675.0,,4175.0,,,,4550.0,2625.0,2900.0,18475.0
Little Flower Ministries KQHE ,27-1083641,,,,,,,,,1325.0,1875.0,1000.0,4200.0
Love Alaska Priceless Chosen ,72-1525990,,,,,,,,,,7950.0,5800.0,13750.0
Love In Action,20-2913418,,,1525.0,1475.0,,675.0,1500.0,,1425.0,1075.0,1150.0,8825.0
Love in the Name of Christ of Eagle River,20-3410636,,,,,1400.0,1850.0,1975.0,2975.0,1475.0,1375.0,2125.0,13175.0
Love INC Juneau,20-1397053,,,1850.0,2600.0,3175.0,4725.0,5050.0,7600.0,5408.0,2900.0,,33308.0
Love INC of the Kenai Peninsula,92-0123380,,1000.0,500.0,2350.0,,3000.0,3875.0,4800.0,3825.0,4275.0,4425.0,28050.0
Love INC Tanana Valley,94-3047380,,,4675.0,4750.0,5078.0,5100.0,6225.0,8550.0,5125.0,5625.0,3425.0,48553.0
Loving Companions Animal Rescue Inc,72-1578941,,6175.0,3775.0,4375.0,6501.0,8600.0,10050.0,11425.0,,3950.0,3350.0,58201.0
Lumen Christi High School,92-0122543,,,,,,,,,1825.0,2175.0,2275.0,6275.0
Lutheran Social Services of Alaska,94-3055592,,5300.0,7325.0,14425.0,15784.0,20230.0,18025.0,21050.0,16436.0,14600.0,11875.0,145050.0
Lynn Canal Conservation,92-0131164,,,,1000.0,,,850.0,575.0,600.0,,,3025.0
Mabel T Caverly Senior Center and Services,92-0057689,,325.0,725.0,950.0,1550.0,1425.0,1400.0,1400.0,1375.0,1800.0,1100.0,12050.0
Make A Wish Alaska and Washington,91-1329433,,,5250.0,7900.0,,11825.0,19701.8,19300.0,10875.0,7125.0,7275.0,89251.8
Mat Su Concert Band Inc,61-1601701,,,,,,,,775.0,625.0,725.0,1425.0,3550.0
Mat Su Schools Foundation,26-1572282,,,325.0,525.0,1200.0,,550.0,850.0,,300.0,450.0,4200.0
Mat Su Senior Services,92-0078503,,675.0,2050.0,4500.0,4800.0,5350.0,4775.0,6150.0,6025.0,4075.0,2700.0,41100.0
Mat Su Services for Children and Adults MSSCA,92-0107450,,,1450.0,2200.0,2052.0,3575.0,3575.0,3625.0,2772.0,,,19249.0
Mat Su Ski Club,26-1217414,,,,,,,2700.0,2700.0,3025.0,2600.0,3750.0,14775.0
Mat Su Trails Council Inc,92-0136165,,,,,650.0,825.0,875.0,1150.0,1200.0,1250.0,1050.0,7000.0
Matanuska Valley Sportsmen Inc,92-0097677,,50.0,225.0,575.0,575.0,375.0,925.0,1200.0,700.0,750.0,1100.0,6475.0
MATSAR Search and Rescue,20-0475618,,,,,,,,,1325.0,1450.0,1200.0,3975.0
MatSu Food Bank aka Food Pantry of Wasilla Food4Kids,92-0150918,,,5850.0,3875.0,10851.0,12730.0,16225.0,19050.0,15517.0,11425.0,12035.0,107558.0
Medallion Foundation Inc,03-0400265,,,,,,,1000.0,,500.0,675.0,550.0,2725.0
Midnight Sun Council Boy Scouts of America,92-0027314,,950.0,750.0,2425.0,1625.0,2650.0,4000.0,,3125.0,2575.0,750.0,18850.0
Missionary Aviation Repair Center,92-0032812,,,,,3903.0,1975.0,3125.0,4200.0,2700.0,2375.0,2250.0,20528.0
Mitkof Dance Troupe ,92-0175176,,,,,,,,,,1050.0,1000.0,2050.0
Mojos Hope,30-0764346,,,,,,,,,3675.0,2625.0,2025.0,8325.0
Momentum Dance Collective,26-3369467,,,,,,,,,,,,
Mt Edgecumbe Preschool Inc,92-0059190,,350.0,900.0,1075.0,2025.0,2400.0,2975.0,1850.0,875.0,1125.0,1175.0,14750.0
Muscular Dystrophy Association,13-1665552,,,,,,,,1700.0,1147.0,975.0,1000.0,4822.0
Museum of the Aleutians As,92-0162384,,,300.0,,,,,,,,425.0,725.0
Museums Alaska Incorporated,92-0097153,,,,,,,,,,,,
Music Machine ,92-0109661,,225.0,,,1828.0,1350.0,2550.0,2850.0,1850.0,2250.0,2025.0,14928.0
Musk Ox Farm,92-0104683,,,,,,,,,,825.0,1325.0,2150.0
MYHouse,45-3954205,,,,,,,,18355.0,15944.0,11675.0,11300.0,57274.0
NAMI Alaska,92-0111673,,1150.0,1100.0,2625.0,,1825.0,1150.0,1275.0,1050.0,1150.0,1025.0,12350.0
NAMI Anchorage,92-0136891,,,,,,2150.0,3275.0,4225.0,3725.0,2675.0,2225.0,18275.0
NAMI Fairbanks,92-0109272,,,,1725.0,1375.0,,1275.0,3050.0,1900.0,1700.0,1575.0,12600.0
NAMI Juneau,31-1765419,,,,,,,,,1625.0,1200.0,1325.0,4150.0
NeighborWorks Alaska,92-0082642,,,,,1200.0,1000.0,2125.0,2375.0,2425.0,1350.0,975.0,11450.0
Nenana Public Library,20-1905431,,,,,625.0,1400.0,650.0,,450.0,,675.0,3800.0
New Hope Compassionate Ministries,71-0903105,,,2450.0,,,2500.0,1225.0,,1954.4,3400.0,1600.0,13129.4
Nikiski Senior Citizens Inc,94-3141712,,,,,,,,825.0,325.0,,575.0,1725.0
Nine Star Education Employment Services,92-0069154,,450.0,575.0,875.0,625.0,,1625.0,1700.0,1650.0,575.0,675.0,8750.0
Ninilchik Community Library,92-0104214,,500.0,950.0,825.0,1175.0,1250.0,1000.0,1200.0,1300.0,1250.0,1175.0,10625.0
Ninilchik Emergency Services,92-0101230,,,,,,,,,1650.0,1525.0,1025.0,4200.0
Nome Community Center Inc,92-0039475,,1675.0,,,,,,2025.0,1975.0,2150.0,1325.0,9150.0
Nome Emergency Shelter Team NEST,27-3970829,,,,,,,,,1375.0,1650.0,2225.0,5250.0
Nome Preschool Association Inc,92-0039573,,275.0,675.0,1975.0,,,,1300.0,925.0,550.0,550.0,6250.0
Nordic Skiing Association of Anchorage,23-7232617,,,,,,,,,5122.0,8050.0,7625.0,20797.0
North Star Ballet,92-0078890,,,,,,,,,1850.0,2200.0,2250.0,6300.0
North Star Community Foundation,87-0761624,,,,,,,,625.0,900.0,700.0,725.0,2950.0
North Star Youth Court,91-1823580,,775.0,1175.0,2100.0,2003.0,2125.0,2325.0,,725.0,525.0,775.0,12528.0
Northern Alaska Environmental Center,23-7438038,,,,,,,,,3397.0,3475.0,2225.0,9097.0
Northern Susitna Institute,20-4297821,,,,,1325.0,2275.0,2350.0,1575.0,900.0,1025.0,850.0,10300.0
Nugens Ranch,92-0065231,,1175.0,800.0,2625.0,1675.0,2625.0,3200.0,2800.0,2725.0,2600.0,1125.0,21350.0
Ocean View PTA,92-0102954,,,,,,,2375.0,1350.0,900.0,475.0,900.0,6000.0
Off the Chain BIcycle Education Corporation,26-4809965,,,,,,,3225.0,2375.0,2175.0,1800.0,2050.0,11625.0
Opera Fairbanks,20-3975320,,400.0,,1100.0,1725.0,1800.0,1775.0,1800.0,1269.0,1150.0,725.0,11744.0
Orpheus Project Opera to Go,92-0166540,,,275.0,150.0,,425.0,500.0,775.0,,375.0,525.0,3025.0
Out North,92-0113286,,1650.0,3975.0,10400.0,7184.0,4950.0,2200.0,,922.0,,,31281.0
Pacific Northern Academy,92-0145501,,25.0,,,,800.0,,2450.0,925.0,800.0,300.0,5300.0
Palmer Arts Council,13-4316744,,,,,925.0,1625.0,1475.0,1150.0,1250.0,550.0,,6975.0
Palmer Community Foundation ACF,92-0155067,,,,,,,,,,,,
Palmer Little League,92-0121417,,,,,,,,,,,,
Parachutes Teen Club and Resource Center,56-2563768,,,3475.0,4300.0,5353.0,7763.0,8200.0,8825.0,6200.0,4975.0,5275.0,54366.0
Partners for Progress,92-0162532,,,,,,,,,,,275.0,275.0
Partners for Progress in Delta Inc,26-2495109,,,,,,,,,,,,
Peace Officer and Firefighter Survivors Fund,92-6001185,,,,,,,,,,,,
Peninsula Spay Neuter Fund,92-0151271,,,,,,,,,2575.0,1525.0,2050.0,6150.0
Perseverance Theatre,92-0071124,,1525.0,2300.0,5075.0,5775.0,6475.0,5675.0,9175.0,8350.0,6225.0,7175.0,57750.0
Pet Pride of Alaska Inc,92-0094506,,,,,,,,,,2550.0,3100.0,5650.0
Petersburg Community Foundation ACF,92-0155067,,2100.0,1775.0,2550.0,4081.0,4100.0,3825.0,4975.0,4350.0,3925.0,3900.0,35581.0
Petersburg Humane Association Inc,92-0166958,,,,,,775.0,2075.0,2900.0,2350.0,1475.0,1475.0,11050.0
Petersburg Mental Health Services Inc,92-0151413,,,650.0,600.0,950.0,575.0,775.0,1125.0,800.0,600.0,700.0,6775.0
PFLAG Juneau ,91-1812227,,,,,,,,,775.0,775.0,575.0,2125.0
PIC,92-0100494,,,,,,1025.0,1250.0,,2825.0,1550.0,2350.0,9000.0
Pier One Theatre,23-7448364,,650.0,550.0,1175.0,1550.0,1050.0,1650.0,1375.0,1550.0,,1275.0,10825.0
PillowsforKidsFoundation,27-1304438,,,,,,875.0,1751.8,975.0,925.0,550.0,800.0,5876.8
Planned Parenthood of the Great Northwest and the Hawaiian Islands,91-0686012,,16725.0,16675.0,35700.0,51640.0,53500.0,57275.0,62500.0,79363.0,122025.0,80629.5,576032.5
Polar Pug Rescue and Friends,20-5873869,,,,,,4750.0,6575.0,9550.0,7150.0,5825.0,5900.0,39750.0
Polaris House,30-0090258,,1175.0,1375.0,,,,,,225.0,450.0,150.0,3375.0
Pratt Museum,92-6002856,,625.0,1450.0,2625.0,2803.0,2125.0,3450.0,3025.0,2197.0,2050.0,1925.0,22275.0
Pride Foundation,91-1325007,,,,,,,,2350.0,2025.0,1575.0,,5950.0
Prince William Sound Science Center,92-0129853,,,,,1225.0,2550.0,2500.0,3600.0,3500.0,2050.0,1950.0,17375.0
Project GRAD Kenai Peninsula,30-0212786,,150.0,275.0,725.0,,,,275.0,450.0,,,1875.0
Providence Alaska Foundation,92-0093565,,1250.0,2450.0,3400.0,7137.0,5225.0,6750.0,8175.0,6969.0,4850.0,6125.0,52331.0
Radio Free Palmer aka Big Cabbage Radio,42-1668214,,,1025.0,1375.0,2575.0,6550.0,4950.0,4725.0,4900.0,5450.0,4800.0,36350.0
Raven Landing,20-1253962,,,,,,1550.0,1775.0,1950.0,872.0,900.0,125.0,7172.0
Raven Radio KCAW CoastAlaska,92-0073406,,,1825.0,2875.0,3800.0,3725.0,4850.0,7250.0,5675.0,5050.0,5325.0,40375.0
Real About Addiction ,32-0487035,,,,,,,,,,,,
Renewable Energy Alaska Project,26-0484527,,,,,4731.0,6300.0,6025.0,6200.0,6350.0,6125.0,5100.0,40831.0
RenewU Ministries,81-0762804,,,,,,,,,,,,
Resurrection Bay Conservation Alliance,92-0167038,,,,550.0,,,1200.0,1175.0,825.0,800.0,675.0,5225.0
Rilke Schule Verein,26-0686706,,,,,,1925.0,3650.0,3700.0,1350.0,1100.0,1650.0,13375.0
Rogers Park PTA,94-3194132,,,,,,,,,,,,
RurAL CAP,92-0033876,,950.0,1275.0,9175.0,3425.0,3550.0,3175.0,3800.0,2697.0,1900.0,1225.0,31172.0
Rural Deltana Volunter Fire Department Inc,92-0158017,,,,,,,,,,,,
Russian Orthodox Sacred Sites in Alaska Inc,71-0879791,,,,,,,,,1675.0,1933.0,1625.0,5233.0
Safe and Fear Free Environment,92-0088380,,500.0,750.0,1975.0,2000.0,,1725.0,3100.0,2872.0,2675.0,2175.0,17772.0
Sealaska Heritage Institute,92-0081844,,400.0,875.0,2225.0,,4550.0,4025.0,3200.0,1700.0,3200.0,3900.0,24075.0
SeaView Community Services,92-0043803,,200.0,950.0,1150.0,1025.0,675.0,,1350.0,500.0,450.0,775.0,7075.0
Seldovia Public Library,33-1152171,,,,,,,,,550.0,600.0,575.0,1725.0
Senior Citizens of Kodiak Inc,23-7348249,,225.0,225.0,1375.0,,1775.0,1875.0,2325.0,3300.0,2025.0,1400.0,14525.0
Set Free Alaska Inc,26-4350361,,,,,,,,,,575.0,1050.0,1625.0
Seward Community Foundation ACF,92-0155067,,1150.0,750.0,4300.0,3300.0,4275.0,5625.0,6575.0,5350.0,3950.0,3950.0,39225.0
Seward He Will Provide Food Pantry,26-0523970,,,,,2000.0,2275.0,3475.0,,3825.0,2150.0,3150.0,16875.0
Seward Senior Center,92-0072425,,25.0,1175.0,2075.0,,,,,800.0,1600.0,1025.0,6700.0
Shiloh Community Development Inc,90-0325278,,,200.0,,,200.0,1175.0,1575.0,1525.0,850.0,900.0,6425.0
Shoot For The Cure,80-0593297,,,,,,,,,,1100.0,700.0,1800.0
Singletrack Advocates,26-1437999,,,,,,,,,5525.0,6600.0,8550.0,20675.0
Sitka Cancer Survivors Society Inc,92-0172665,,,,,,,375.0,1375.0,825.0,,400.0,2975.0
Sitka Historical Society Inc,92-0074478,,550.0,1075.0,1400.0,1525.0,1400.0,800.0,,950.0,775.0,,8475.0
Sitka Local Foods Network,26-4629930,,,,,,,2650.0,3175.0,2800.0,,1175.0,9800.0
Sitka Maritime Heritage Society Inc,92-0169964,,,350.0,1025.0,1578.0,1525.0,1625.0,2175.0,1125.0,,1275.0,10678.0
Sitka Sound Science Center ,26-1253086,,,,,,,,,3250.0,2750.0,3225.0,9225.0
Sitka Summer Music Festival Inc,92-0075160,,1925.0,1700.0,2900.0,1950.0,,3300.0,4050.0,2725.0,2725.0,2425.0,23700.0
Sitka Trail Works Inc,91-1815739,,,,2425.0,,2925.0,,,,2725.0,3250.0,11325.0
Sitkans Against Family Violence,92-0077632,,1825.0,,,,,,4150.0,3750.0,4275.0,4950.0,18950.0
Sled Dog Sanctuary,27-1306868,,,,,,,,,2200.0,1900.0,,4100.0
Sobermiut Inc,20-2713587,,,,,,,,,,150.0,175.0,325.0
Soldotna Library Friends,30-0347148,,,,,,1050.0,1000.0,1700.0,1275.0,1025.0,875.0,6925.0
SOS Pets ,92-0174492,,,,,,2625.0,2875.0,3725.0,3175.0,3375.0,4200.0,19975.0
South Peninsula Hospital Foundation Inc,83-0354063,,,,,,,,,,150.0,,150.0
Southeast Alaska Conservation Council,92-0062992,,,2375.0,,4653.0,4775.0,4250.0,6400.0,3175.0,3750.0,3875.0,33253.0
Southeast Alaska Foodbank,92-0165056,,,,,,,,,,3050.0,3150.0,6200.0
Southeast Alaska Independent Living SAIL,92-0144370,,1400.0,2350.0,4625.0,6153.0,7675.0,10375.0,11925.0,10800.0,9450.0,12750.0,77503.0
Southeast Alaska Land Trust,92-0156402,,,,,,,,,1325.0,750.0,950.0,3025.0
Southeast Alaska Organization for Animals,46-1580461,,,,,,,,,,2950.0,,2950.0
Southeast Alaska State Fair,23-7078520,,,,,,,,,,400.0,275.0,675.0
